IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.115.243,4,4,0.00,154.96,13.48
104.16.251.25,4,4,0.00,159.06,13.42
104.19.180.47,4,4,0.00,159.02,13.24
104.19.252.187,4,4,0.00,158.96,13.19
104.17.53.240,4,4,0.00,156.88,13.07
104.17.77.246,4,4,0.00,157.74,12.93
104.17.132.241,4,4,0.00,156.72,12.90
104.17.56.119,4,4,0.00,155.17,12.81
104.17.202.129,4,4,0.00,156.71,12.68
104.17.194.72,4,4,0.00,156.65,12.68
104.17.34.182,4,4,0.00,158.57,12.23
104.17.59.64,4,4,0.00,157.42,12.22
104.17.65.131,4,4,0.00,158.36,12.18
104.17.64.99,4,4,0.00,158.42,12.03
104.19.146.40,4,4,0.00,157.72,11.88
104.17.196.118,4,4,0.00,158.33,11.85
104.19.181.71,4,4,0.00,158.75,11.79
104.16.240.108,4,4,0.00,158.35,11.76
104.17.130.202,4,4,0.00,157.45,11.41
104.17.189.183,4,4,0.00,158.60,11.02
